"INDIAN INSTITUTE OF TECHNOLOGY - [IIT], KHARAGPUR","KHARAGPUR, WEST BENGAL
  AICTE, UGC",8.5/10,"₹ 86,131","₹ 86,131","['#icon-mhrdRANKED 3 OUT OF 100', '#icon-indiaTodayRANKED 3 OUT OF 25']",,"['Electrical Engineering', 'Computer Science And Engineering', 'Instrumentation Engineering', 'Aerospace Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Chemical Engineering', 'Metallurgical And Materials Engineering', 'Naval Architecture & Ocean Engineering', 'Biotechnology And Biochemical Engineering', 'Mining Engineering', 'Manufacturing Engineering', 'Industrial Engineering', 'Electronics and Electrical Communication Engineering', 'Agricultural And Food Engineering']","₹88,170 ","₹79,070 ","₹79,070 ","₹79,070 ","₹325,380"
"INDIAN INSTITUTE OF TECHNOLOGY - [IIT], NEW DELHI","NEW DELHI, DELHI NCR",8.6/10,"₹ 220,600","₹ 220,600","['#icon-mhrdRANKED 4 OUT OF 100', '#icon-indiaTodayRANKED 2 OUT OF 25']",,"['Electrical Engineering', 'Mathematics And Computing', 'Textile Engineering', 'Computer Science And Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Engineering Physics', 'Chemical Engineering', 'Industrial & Production Engineering', 'Power Engineering', 'Biotechnology And Biochemical Engineering', 'Electrical Engineering [Power And Automation]']","₹220,600 ","₹208,800 ","₹208,800 ","₹208,800 ","₹847,000"
"SRM UNIVERSITY AMARAVATI, GUNTUR","GUNTUR, ANDHRA PRADESH
  AICTE",8.7/10,"₹ 260,000","₹ 260,000",[],"['Classrooms', 'Cafeteria', 'Sports', 'Auditorium', 'Library', 'Comp Labs', 'Laboratory', 'Hostel']","['Electronics & Communication Engineering', 'Civil Engineering', 'Computer Science And Engineering', 'Electrical And Electronics Engineering', 'Mechanical Engineering']","₹260,000 ","₹250,000 ","₹250,000 ","₹250,000 ","₹1,010,000"
"INDIAN INSTITUTE OF TECHNOLOGY MADRAS - [IITM], CHENNAI","CHENNAI, TAMIL NADU
  AICTE",8.8/10,"₹ 79,510","₹ 79,510","['#icon-mhrdRANKED 1 OUT OF 100', '#icon-indiaTodayRANKED 5 OUT OF 25']",,"['Electrical Engineering', 'Computer Science And Engineering', 'Aerospace Engineering', 'Naval Architecture & Ocean Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Engineering Physics', 'Chemical Engineering', 'Metallurgical And Materials Engineering']","₹79,510 ","₹74,460 ","₹74,460 ","₹74,460 ","₹302,890"
"JAIN UNIVERSITY - [JU], BANGALORE","BANGALORE, KARNATAKA
  CRISIL, AICTE, UGC, NAAC-A, MHRD",7.6/10,"₹ 160,000","₹ 160,000",[],"['Library', 'Laboratory', 'Comp Labs', 'Medical', 'Auditorium', 'Cafeteria', 'Transport', 'Sports']","['Electronics & Communication Engineering', 'Computer Science And Engineering', 'Aeronautical Engineering', 'Aerospace Engineering', 'Electrical And Electronics Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Information Science & Engineering', 'Automobile Engineering', 'Software Engineering', 'Cloud Technology & Information Security', 'Cloud Technology & Mobile Application', 'Internet of Things', 'Automation & Robotics Engineering', 'Artificial Intelligence']","₹160,000 ","₹160,000 ","₹160,000 ","₹160,000 ","₹640,000"
"INDIAN INSTITUTE OF TECHNOLOGY - [IIT], KANPUR","KANPUR, UTTAR PRADESH
  UGC",8.9/10,"₹ 213,092","₹ 213,092","['#icon-mhrdRANKED 5 OUT OF 100', '#icon-indiaTodayRANKED 1 OUT OF 25']",,"['Electrical Engineering', 'Computer Science And Engineering', 'Aerospace Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Chemical Engineering', 'Biological Sciences And Bio-Engineering', 'Material Science Engineering']","₹213,092 ","₹203,642 ","₹203,642 ","₹203,642 ","₹824,018"
"LOVELY PROFESSIONAL UNIVERSITY - [LPU], JALANDHAR","JALANDHAR, PUNJAB
  NCTE, COA, PCI, IAP, BCI",8.1/10,"₹ 126,000","₹ 126,000",[],"['Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']","['Electrical Engineering', 'Petroleum Engineering', 'Electronics & Communication Engineering', 'Computer Science And Engineering', 'Aerospace Engineering', 'Electrical And Electronics Engineering', 'Biotechnology', 'Mechanical Engineering', 'Civil Engineering', 'Information Technology', 'Chemical Engineering', 'Mechatronics Engineering', 'Automobile Engineering', 'Food Technology', 'Biomedical Engineering']","₹126,000 ","₹126,000 ","₹126,000 ","₹126,000 ","₹504,000"
"INDIAN INSTITUTE OF SCIENCE - [IISC], BANGALORE","BANGALORE, KARNATAKA
  NAAC, UGC",9.2/10,"₹ 29,200","₹ 29,200",[],"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium']","['Electrical Engineering', 'Aerospace Engineering', 'M.Tech By Research', 'Instrumentation', 'Civil Engineering', 'Chemical Engineering', 'Mechanical Engineering', 'Artificial Intelligence', 'Earth & Environmental Sciences', 'Signal Processing', 'Microelectronics And Vlsi Design', 'Nano Science And Technology', 'Material Engineering', 'Climate Science', 'Networking and Communications', 'Electronics Systems Design Engineering', 'Smart Manufacturing', 'Transportation and Infrastructure Engineering', 'Computational Mathematics And Data Processing']","₹30,200 ","₹15,200 ","₹15,200 ","₹15,200 ","₹75,800"
"VIT BHOPAL UNIVERSITY, BHOPAL","BHOPAL, MADHYA PRADESH
  AICTE, MHRD",6.8/10,"₹ 198,000","₹ 198,000",[],"['Sports', 'Medical', 'Cafeteria', 'Library', 'Laboratory', 'Comp Labs', 'Swimming Pool', 'Classrooms']","['Electronics & Communication Engineering', 'Computer Science And Engineering', 'Aerospace Engineering', 'Electrical And Electronics Engineering', 'Mechanical Engineering', 'Bioengineering', 'Gaming Technology', 'Cyber Security and Digital Forensics', 'Artificial Intelligence and Machine Learning']","₹198,000 ","₹198,000 ","₹198,000 ","₹198,000 ","₹792,000"
"INDIAN INSTITUTE OF TECHNOLOGY - [IIT], ROORKEE","ROORKEE, UTTARAKHAND
  AICTE",8.4/10,"₹ 214,080","₹ 214,080","['#icon-mhrdRANKED 6 OUT OF 100', '#icon-indiaTodayRANKED 4 OUT OF 25']",,"['Electrical Engineering', 'Electronics & Communication Engineering', 'Computer Science And Engineering', 'Biotechnology', 'Mechanical Engineering', 'Civil Engineering', 'Engineering Physics', 'Chemical Engineering', 'Metallurgical And Materials Engineering', 'Polymer Science and Technology', 'Industrial & Production Engineering']","₹214,080 ","₹210,680 ","₹210,680 ","₹100,680 ","₹736,120"
